"parent","level","name","lng","lat","people_count_2010","adcode"
"云南省","city","保山市","99.167133","25.111802","2506491","530500"
"云南省","city","大理白族自治州","100.225668","25.589449","5274343","532900"
"安徽省","city","宿州市","116.984084","33.633891","6974366","341300"
"云南省","city","昭通市","103.717216","27.336999","5185150","530600"
"云南省","city","临沧市","100.08697","23.886567","5801192","530900"
"宁夏回族自治区","city","银川市","106.278179","38.46637","1993088","640100"
"浙江省","city","杭州市","120.153576","30.287459","8402597","330100"
"云南省","city","文山壮族苗族自治州","104.24401","23.36951","4610409","532600"
"辽宁省","city","葫芦岛市","120.856394","40.755572","2623541","211400"
"广西壮族自治区","city","贺州市","111.552056","24.414141","2348582","451100"
"广东省","city","韶关市","113.591544","24.801322","2826246","440200"
"山西省","city","运城市","111.003957","35.022778","5134779","140800"
"山西省","city","朔州市","112.433387","39.331261","1714857","140600"
"新疆维吾尔自治区","city","铁门关市","85.501218","41.827251","770886","659006"
"山西省","city","临汾市","111.517973","36.08415","4316610","141000"
"福建省","city","厦门市","118.11022","24.490474","3531347","350200"
"山东省","city","德州市","116.307428","37.453968","5568235","371400"
"上海市","city","上海市郊县","121.397417","31.623587","703722","310200"
"青海省","city","黄南藏族自治州","102.019988","35.517744","737781","632300"
"青海省","city","海南藏族自治州","100.619542","36.280353","623373","632500"
"辽宁省","city","朝阳市","120.451176","41.576758","3044641","211300"
"四川省","city","巴中市","106.753669","31.858809","3256981","511900"
"甘肃省","city","白银市","104.173606","36.54568","1708752","620400"
"云南省","city","红河哈尼族彝族自治州","103.384182","23.366775","8575364","532500"
"湖北省","city","孝感市","113.926655","30.926423","4799035","420900"
"河北省","city","邢台市","114.508851","37.0682","6433949","130500"
"福建省","city","漳州市","117.661801","24.510897","4809983","350600"
"四川省","city","内江市","105.066138","29.58708","3209502","511000"
"四川省","city","绵阳市","104.741722","31.46402","4571807","510700"
"山西省","city","晋城市","112.851274","35.497553","1802201","140500"
"四川省","city","乐山市","103.761263","29.582024","2572945","511100"
"四川省","city","眉山市","103.831788","30.048318","2917471","511400"
"四川省","city","资阳市","104.641917","30.122211","4552496","512000"
"湖北省","city","十堰市","110.787916","32.646907","3340841","420300"
"四川省","city","阿坝藏族羌族自治州","102.221374","31.899792","898708","513200"
"宁夏回族自治区","city","石嘴山市","106.376173","39.01333","725482","640200"
"海南省","city","万宁市","110.388793","18.796216","545597","469006"
"广西壮族自治区","city","桂林市","110.299121","25.274215","5374183","450300"
"贵州省","city","铜仁市","109.191555","27.718346","null","520600"
"安徽省","city","马鞍山市","118.507906","31.689362","1366302","340500"
"安徽省","city","亳州市","115.782939","33.869338","4900000","341600"
"吉林省","city","松原市","124.823608","45.118243","2880086","220700"
"内蒙古自治区","city","呼和浩特市","111.670801","40.818311","3218484","150100"
"重庆市","city","重庆市郊县","108.170255","29.291965","13563221","500200"
"新疆维吾尔自治区","city","石河子市","86.041075","44.305886","380130","659001"
"内蒙古自治区","city","呼伦贝尔市","119.758168","49.215333","2607496","150700"
"江西省","city","吉安市","114.986373","27.111699","4810339","360800"
"青海省","city","玉树藏族自治州","97.008522","33.004049","867777","632700"
"河南省","city","安阳市","114.352482","36.103442","5209899","410500"
"内蒙古自治区","city","锡林郭勒盟","116.090996","43.944018","1028022","152500"
"内蒙古自治区","city","兴安盟","122.070317","46.076268","2193640","152200"
"内蒙古自治区","city","阿拉善盟","105.706422","38.844814","231334","152900"
"西藏自治区","city","日喀则市","88.885148","29.267519","null","540200"
"湖南省","city","岳阳市","113.132855","29.37029","6136430","430600"
"河北省","city","邯郸市","114.490686","36.612273","9174683","130400"
"湖北省","city","潜江市","112.896866","30.421215","946277","429005"
"湖南省","city","衡阳市","112.607693","26.900358","7193113","430400"
"江西省","city","抚州市","116.358351","27.98385","3922419","361000"
"贵州省","city","黔西南布依族苗族自治州","104.897971","25.08812","2804612","522300"
"黑龙江省","city","双鸭山市","131.157304","46.643442","3232812","230500"
"河南省","city","周口市","114.649653","33.620357","8953534","411600"
"新疆维吾尔自治区","city","北屯市","87.824932","47.353177","770886","659005"
"黑龙江省","city","佳木斯市","130.361634","46.809606","2003656","230800"
"吉林省","city","白城市","122.841114","45.619026","2032356","220800"
"云南省","city","普洱市","100.972344","22.777321","null","530800"
"云南省","city","迪庆藏族自治州","99.706463","27.826853","560787","533400"
"辽宁省","city","辽阳市","123.18152","41.269402","1858768","211000"
"海南省","city","三亚市","109.508268","18.247872","6600000","460200"
"海南省","city","临高县","109.687697","19.908293","5939907","469024"
"广东省","city","阳江市","111.975107","21.859222","2421748","441700"
"广东省","city","湛江市","110.364977","21.274898","8512201","440800"
"新疆维吾尔自治区","city","克孜勒苏柯尔克孜自治州","76.172825","39.713431","525570","653000"
"甘肃省","city","平凉市","106.684691","35.54279","2068033","620800"
